x,y,Thermal Conductivity,Lattice Parameter(WPF),delta_d(SPF-WPF),d-spacing(WPF),Fluorite Size Disorder,Entropy,strain(LMFIT-dspacing),a111(LMFIT),a200(LMFIT),mismatch(LMFIT-lattice parameter),d111(LMFIT),d200(LMFIT),corr_length,fwhm111(LMFIT),delta_d/d
-2.4,-1.3,0.0,5.243934,0.0190570162088468,2.621967,0.1020716678196242,4.034331291409924,0.12748,5.244424,5.283755,-0.0075,3.027869,2.641877,2.948660272867483,0.095912,0.007268213600265297
-2.4,-1.2,0.0,5.243934,0.0190570162088468,2.621967,0.1020716678196242,4.034331291409924,0.12748,5.244424,5.283755,-0.0075,3.027869,2.641877,2.948660272867483,0.095912,0.007268213600265297
-2.4,-1.1,0.0,5.243527,0.0186869715432722,2.6217635,0.1020146406734056,4.043980496859533,0.127582,5.24435,5.283061,-0.007381,3.027827,2.64153,2.948660272867483,0.095871,0.007127634335923969
-2.4,-1.0,0.804993346,5.243527,0.0186869715432722,2.6217635,0.1020146406734056,4.043980496859533,0.127582,5.24435,5.283061,-0.007381,3.027827,2.64153,2.948660272867483,0.095871,0.007127634335923969
-2.4,-0.9,0.887330534,5.243527,0.0186869715432722,2.6217635,0.1018880992051306,4.046982461024117,0.127582,5.24435,5.283061,-0.007381,3.027827,2.64153,2.948660272867483,0.095871,0.007127634335923969
-2.4,-0.8,0.76177933,5.243176,0.0188697762774818,2.621588,0.101775330095382,4.058133484803305,0.127678,5.243948,5.282073,-0.00727,3.027595,2.641036,3.015597079817589,0.095988,0.007197842024559847
-2.4,-0.7,0.83663925,5.243176,0.0188697762774818,2.621588,0.1016506549825489,4.061241969729285,0.127678,5.243948,5.282073,-0.00727,3.027595,2.641036,3.52125376067586,0.095988,0.007197842024559847
-2.4,-0.6,0.784751857,5.24233,0.019332953038456,2.621165,0.101515978465804,4.064648893476941,0.127517,5.242909,5.282005,-0.007457,3.026995,2.641002,3.860703967921523,0.096085,0.007375710052002067
-2.4,-0.5,0.752719515,5.24233,0.019332953038456,2.621165,0.1013892725654857,4.067926258725553,0.127517,5.242909,5.282005,-0.007457,3.026995,2.641002,4.028118257949202,0.096085,0.007375710052002067
-2.4,-0.4,0.821431785,5.24233,0.019332953038456,2.621165,0.1013026440683963,4.079168457016991,0.127517,5.242909,5.282005,-0.007457,3.026995,2.641002,4.039509864405739,0.096085,0.007375710052002067
-2.4,-0.3,0.677633641,5.242145,0.0192771703404122,2.6210725,0.1011746071605535,4.082856225711864,0.127594,5.242681,5.28131,-0.007368,3.026863,2.640655,3.928062914566756,0.096324,0.007354687953275692
-2.4,-0.2,0.752396823,5.242145,0.0192771703404122,2.6210725,0.10105454956513,4.086463500299161,0.127594,5.242681,5.28131,-0.007368,3.026863,2.640655,3.733849335831471,0.096324,0.007354687953275692
-2.4,-0.1,0.735026016,5.24143,0.0187292657307494,2.620715,0.1009322156841181,4.090316857109686,0.127619,5.241742,5.280213,-0.007339,3.026321,2.640106,3.489669143447512,0.096175,0.007146624387142211
-2.4,0.0,0.818561987,5.24143,0.0187292657307494,2.620715,0.1009322156841181,4.090316857109686,0.127619,5.241742,5.280213,-0.007339,3.026321,2.640106,3.205874098586306,0.096175,0.007146624387142211
-2.4,0.1,0.834756437,5.24143,0.0187292657307494,2.620715,0.1006968697706771,4.098361870191622,0.127619,5.241742,5.280213,-0.007339,3.026321,2.640106,2.948660272867483,0.096175,0.007146624387142211
-2.4,0.2,0.760895213,5.240792,0.0195563840714165,2.620396,0.1005841603437879,4.102559891890944,0.12755,5.241097,5.279977,-0.007418,3.025949,2.639988,2.948660272867483,0.096352,0.0074631407128603845
-2.4,0.3,0.772467087,5.240792,0.0195563840714165,2.620396,0.1004792066771829,4.1067072490961,0.12755,5.241097,5.279977,-0.007418,3.025949,2.639988,2.948660272867483,0.096352,0.0074631407128603845
-2.4,0.4,0.769791569,5.23999,0.0188012608620229,2.619995,0.1003730907509504,4.111149080868047,0.127673,5.240183,5.278312,-0.007276,3.025421,2.639156,2.948660272867483,0.09611,0.007176067458916106
-2.4,0.5,0.711163979,5.23999,0.0188012608620229,2.619995,0.1001965184042038,4.108392898786864,0.127673,5.240183,5.278312,-0.007276,3.025421,2.639156,2.948660272867483,0.09611,0.007176067458916106
-2.4,0.6,0.76830408,5.23999,0.0188012608620229,2.619995,0.1001026236790949,4.1128284995164,0.127673,5.240183,5.278312,-0.007276,3.025421,2.639156,2.948660272867483,0.09611,0.007176067458916106
-2.4,0.7,0.727480209,5.239369,0.0195320520633277,2.6196845,0.1000076701647797,4.117571973624669,0.127631,5.239517,5.277898,-0.007325,3.025036,2.638949,2.948660272867483,0.096686,0.0074558795394360266
-2.4,0.8,0.674768143,5.239369,0.0195320520633277,2.6196845,0.0999238386541623,4.121982796409313,0.127631,5.239517,5.277898,-0.007325,3.025036,2.638949,2.948660272867483,0.096686,0.0074558795394360266
-2.4,0.9,0.823799573,5.238598,0.0186476019638504,2.619299,0.0997511773916458,4.119969078924294,0.127721,5.238284,5.276112,-0.007221,3.024325,2.638056,2.948660272867483,0.097614,0.007119310152773853
-2.4,1.0,0.758223009,5.238598,0.0186476019638504,2.619299,0.0996747397369153,4.124473883072979,0.127721,5.238284,5.276112,-0.007221,3.024325,2.638056,2.948660272867483,0.097614,0.007119310152773853
-2.4,1.1,0.839345149,5.238598,0.0186476019638504,2.619299,0.099600745708364,4.129014918739061,0.127721,5.238284,5.276112,-0.007221,3.024325,2.638056,2.948660272867483,0.097614,0.007119310152773853
-2.4,1.2,0.760946944,5.237605,0.0187191133429385,2.6188025,0.0994364739915196,4.127217634334206,0.12768,5.237298,5.275367,-0.007269,3.023755,2.637684,2.948660272867483,0.097863,0.007147966806560823
-2.4,1.3,0.700396816,5.237605,0.0187191133429385,2.6188025,0.0993727124275478,4.131523317153818,0.12768,5.237298,5.275367,-0.007269,3.023755,2.637684,2.948660272867483,0.097863,0.007147966806560823
-2.4,1.4,0.742480489,5.236652,0.0187671186292028,2.618326,0.0992125957670708,4.1298510709872,0.127657,5.235941,5.274137,-0.007295,3.022972,2.637069,2.948660272867483,0.098005,0.0071676019827946556
-2.4,1.5,0.831072006,5.236652,0.0187671186292028,2.618326,0.099154937319232,4.134067941466139,0.127657,5.235941,5.274137,-0.007295,3.022972,2.637069,2.948660272867483,0.098005,0.0071676019827946556
-2.4,1.6,0.862632325,5.236652,0.0187671186292028,2.618326,0.099002342879973,4.132207524240491,0.127657,5.235941,5.274137,-0.007295,3.022972,2.637069,2.948660272867483,0.098005,0.0071676019827946556
-2.4,1.7,0.897122837,5.235591,0.0188532389875861,2.6177955,0.0989502328909429,4.13626112558401,0.127512,5.234672,5.273737,-0.007463,3.022239,2.636868,2.948660272867483,0.098424,0.007201952554195352
-2.4,1.8,0.816753523,5.235591,0.0188532389875861,2.6177955,0.098801663001237,4.134374199289315,0.127512,5.234672,5.273737,-0.007463,3.022239,2.636868,2.948660272867483,0.098424,0.007201952554195352
-2.4,1.9,0.840092491,5.234575,0.0186563669630044,2.6172875,0.0986566413307209,4.132303023585995,0.127534,5.233485,5.272404,-0.007437,3.021554,2.636202,2.948660272867483,0.099621,0.007128130540876536
-2.4,2.0,0.850624479,5.234575,0.0186563669630044,2.6172875,0.0986130486311526,4.135936065601467,0.127534,5.233485,5.272404,-0.007437,3.021554,2.636202,2.948660272867483,0.099621,0.007128130540876536
